rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing hero CTAs,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,The hero presents two equally prominent CTAs (SHOP MEN and SHOP WOMEN) that split user intent and delay the path to a single product category.,The hero presents two equally prominent CTAs (SHOP MEN and SHOP WOMEN) that split user intent and delay the path to a single product category.,"h1: Wildly Comfortable. Super Natural.; cta: Shop All (primary) with secondary 'Shop Men' / 'Shop Women' links; notes: A single primary CTA to 'Shop All' reduces decision load and lets users self-segment later, improving flow to product discovery.","Hero section contains both 'SHOP MEN' and 'SHOP WOMEN' CTAs, with no primary/secondary visual hierarchy in the extracted copy. | H1: 'Wildly Comfortable. Super Natural.' with CTAs 'SHOP MEN' and 'SHOP WOMEN' but no subheadline to clarify the brand's specific benefits.","Funnel-Path & Commerce Clarity, Message Clarity",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_competing_hero_ctas.html
2,Vague hero copy,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero headline 'Wildly Comfortable. Super Natural.' is abstract and doesn't directly address the visitor's intent to find comfortable, sustainable shoes, leaving them to infer the value proposition.","The hero headline 'Wildly Comfortable. Super Natural.' is abstract and doesn't directly address the visitor's intent to find comfortable, sustainable shoes, leaving them to infer the value proposition.","h1: Shoes That Feel Like Nothing Else; cta: Shop Men / Shop Women; notes: Add a subheadline: 'Made from natural materials like merino wool and eucalyptus, for all-day comfort.' This directly addresses the visitor's search for comfortable, sustainable footwear.",H1: 'Wildly Comfortable. Super Natural.' with CTAs 'SHOP MEN' and 'SHOP WOMEN' but no subheadline to clarify the brand's specific benefits.,Message Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_2_vague_hero_copy.html
3,No social proof in hero,HIGH,Homepage,Medium,2-5 days,5,10,no,trust,"The hero lacks any review count or rating, so first-time visitors have no immediate trust signal to overcome skepticism about comfort claims.","The hero lacks any review count or rating, so first-time visitors have no immediate trust signal to overcome skepticism about comfort claims.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Add a line under the CTAs: 'Rated 4.5/5 by 10,000+ customers' or a small review stars widget.","Hero H1: 'Wildly Comfortable. Super Natural.' with CTAs 'SHOP MEN' and 'SHOP WOMEN' — no review stars, no 'Rated 4.5/5 by 10,000+ customers', no press logos.",Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_3_no_social_proof_in_hero.html
4,Free shipping threshold hidden,HIGH,Homepage,Low,0.5-2 days,5,10,no,trust|conversion,"The homepage hero promotes 'Wildly Comfortable. Super Natural.' but does not mention the $100 free shipping threshold, which is only disclosed in the announcement bar and cart, creating an expectation gap for customers who may not meet the threshold.","The homepage hero promotes 'Wildly Comfortable. Super Natural.' but does not mention the $100 free shipping threshold, which is only disclosed in the announcement bar and cart, creating an expectation gap for customers who may not meet the threshold.",h1: Wildly Comfortable. Super Natural. Free Shipping Over $100.; cta: SHOP MEN / SHOP WOMEN; notes: Add a subheading or badge to the hero that clearly states the free shipping threshold to set accurate expectations.,"Homepage body sample includes 'Free ground shipping on orders over $100' in the announcement bar, but the hero section and CTAs ('SHOP MEN', 'SHOP WOMEN') do not mention this threshold. The cart drawer shows 'Spend more to earn free shipping! Shipping $5.00'.",Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_free_shipping_threshold_hidden.html
5,Mega-menu choice overload,HIGH,Navigation,Low,0.5-2 days,5,10,no,conversion,"The mega-menu presents 20+ nav items with multiple nested categories, risking choice overload and decision paralysis for users.","The mega-menu presents 20+ nav items with multiple nested categories, risking choice overload and decision paralysis for users.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN, SHOP WOMEN; notes: Simplify mega-menu to top 5-7 categories with clear hierarchy, reduce repetition, and use descriptive labels.","nav_items list includes 20 items: 'New Arrivals, Shop All, Bestsellers, LEATHER ALTERNATIVES, Men's Shoes, Sneakers, Slip Ons, Sandals, Active, All-Weather, Runner NZ, Cruiser, Tree Runner NZ, Socks, Men's Apparel, Women's Shoes, Trainers, Flats, Canvas Cruiser, Women's Apparel'",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_mega_menu_choice_overload.html
6,Hidden pricing and CTA,URGENT,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page for Anytime Ankle Sock lacks visible price and add-to-cart CTA, creating uncertainty and blocking purchase path.","The product page for Anytime Ankle Sock lacks visible price and add-to-cart CTA in the extracted content, creating uncertainty and blocking purchase path.","h1: Anytime Ankle Sock; cta: Add to Cart (with price displayed); notes: Ensure price is prominently displayed and a clear add-to-cart CTA is available; if out of stock, show expected availability and price to manage expectations.","The page's CTAs include 'Get Notified' and 'Learn More' but no 'Add to Cart' or price appears in the extracted body sample; prices list only $5.00 (shipping) and $10 (likely other products). | The inventory for '/products/anytime-ankle-sock' lists CTAs: 'Get Notified', 'Learn More', 'Sign Up', but no price is listed in the 'prices' array. | CTAs include 'Get Notified' and 'Learn More' on the Anytime Ankle Sock product page, with no visible 'Add to Cart' or price in the extracted data.","Funnel-Path & Commerce Clarity, Pricing Transparency, Nav & Distraction",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_6_hidden_pricing_and_cta.html
7,Out-of-stock notification form,HIGH,Product Page,Low,0.5-2 days,4,10,no,conversion,"The product page for the Anytime Ankle Sock shows a 'Get Notified' CTA, which is a lead capture form for out-of-stock items, but the form lacks a trust layer (e.g., no mention of restock timing or privacy) and may be the highest drop-off point for interested buyers.","The product page for the Anytime Ankle Sock shows a 'Get Notified' CTA, which is a lead capture form for out-of-stock items, but the form lacks a trust layer (e.g., no mention of restock timing or privacy) and may be the highest drop-off point for interested buyers.",h1: Anytime Ankle Sock; cta: Notify Me When Available; notes: Add microcopy: 'We'll email you as soon as it's back in stock. No spam.' Also consider a one-click email capture with a success message to reduce friction.,The product page inventory shows a CTA 'Get Notified' and the body sample includes 'Get Notified' and 'Learn More'. The form likely collects email to notify when back in stock.,Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_7_out_of_stock_notification_form.html
8,No visible review count,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page shows a reviews section but no aggregate rating or count near the price, so shoppers cannot quickly gauge social proof at the point of purchase.","The product page shows a reviews section but no aggregate rating or count near the price, so shoppers cannot quickly gauge social proof at the point of purchase.","h1: Anytime Ankle Sock; cta: Get Notified; notes: Add a star rating and review count (e.g., '★★★★★ 1,200 reviews') directly under the product title.","H2 'Reviews for Anytime Ankle Sock' exists, but no star rating or review count appears in the body sample or CTAs; the page has a 'Get Notified' CTA indicating out-of-stock, but no trust signal.",Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_no_visible_review_count.html
9,Single-field email capture,HIGH,Forms & Signup,High,5+ days,3,10,no,conversion,"The homepage email signup form asks only for an email address, which is a low-friction but low-value capture that may attract low-intent subscribers and lacks a trust layer to justify the data request.","The homepage email signup form asks only for an email address, which is a low-friction but low-value capture that may attract low-intent subscribers and lacks a trust layer to justify the data request.","h1: Wildly Comfortable. Super Natural.; cta: Get 10% Off Your First Order; notes: Add a clear value proposition (e.g., discount) and a microcopy trust line like 'No spam, unsubscribe anytime.' Consider adding a first name field only if it supports personalization, but keep it optional.","The homepage form has 1 input, no labels, and a 'Sign Up' submit button. The body sample shows 'Subscribe to our emails Sign Up'.",Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_single_field_email_capture.html
10,Controls without accessible names,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,"41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 41 of 79 <button> elements contain no text content and no aria-label.,Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_controls_without_accessible_names.html
